Entity;Prefix;Cont;ITU;CQ;Entity Code
Lesotho;7P;AF;57;38;432
Liberia;EL;AF;46;35;434
Libya;5A;AF;38;34;436
Liechtenstein;HB0;EU;28;14;251
Lithuania;LY;EU;29;15;146
Lord Howe I. ;VK9L ;OC;60;30;147
Luxembourg;LX;EU;27;14;254
Macao ;XX9;AS;44;24;152
Macquarie I.;VK0;OC;60;30;153
Madagascar;5R;AF;53;39;438
Madeira Is.;CT3;AF;36;33;256
Malawi;7Q;AF;53;37;440
Maldives;8Q;AS/AF;41;22;159
Mali;TZ;AF;46;35;442
Malpelo I.;HK0;SA;12;9;161
Malta;9H;EU;28;15;257
Mariana Is.;KH0;OC;64;27;166
Market Reef;OJ0;EU;18;15;167
Marquesas Is.;FO,TX;OC;63;31;509
Marshall Is.;V7;OC;65;31;168
Martinique;FM,TO;NA;11;8;84
Mauritania;5T;AF;46;35;444
Mauritius;3B8;AF;53;39;165
Mayotte;FH,TO;AF;53;39;169
Mellish Reef;VK9M;OC;56;30;171
Mexico;XA-XI ;NA;10;6;50
Micronesia;V6;OC;65;27;173
Midway I. ;KH4;OC;61;31;174
Minami Torishima;JD1;OC;90;27;177
Moldova;ER;EU;29;16;179
Monaco;3A;EU;27;14;260
Mongolia;JT-JV;AS;32,33;23;363
Montenegro;4O;EU;28;15;514
Montserrat;VP2M;NA;11;8;96
Morocco;CN;AF;37;33;446
Mount Athos;SV/A;EU;28;20;180
Mozambique;C8-C9;AF;53;37;181
Myanmar ;XY-XZ;AS;49;26;309
N. Cook Is.;E5;OC;62;32;191
Namibia;V5;AF;57;38;464
Nauru;C2;OC;65;31;157
Navassa I.;KP1;NA;11;8;182
Nepal;9N;AS;42;22;369
Netherlands ;PA-PI;EU;27;14;263
New Caledonia ;FK,TX;OC;56;32;162
New Zealand;ZL-ZM;OC;60;32;170
New Zealand - Subantarctic Islands;ZL9;OC;60;32;16
Nicaragua;YN,H6-7,HT;NA;11;7;86
Niger;5U;AF;46;35;187
Nigeria;5N;AF;46;35;450
Niue;E6;OC;62;32;188
Norfolk I. ;VK9N ;OC;60;32;189
North Macedonia;Z3;EU;28;15;502
Northern Ireland;GI,GN;EU;27;14;265
Norway;LA-LN;EU;18;14;266
Ogasawara;JD1;AS;45;27;192
Oman;A4;AS;39;21;370
Pakistan;AP;AS;41;21;372
Palau;T8;OC;64;27;22
Palestine;E4;AS;39;20;510
Palmyra & Jarvis Is. ;KH5;OC;61,62 ;31;197
Panama;HO,HP;NA;11;7;88
Papua New Guinea ;P2;OC;51;28;163
Paraguay;ZP;SA;14;11;132
Peru;OA-OC;SA;12;10;136
Peter 1 I.;3Y;AN;72;12;199
Philippines;DU-DZ,4D-4I;OC;50;27;375
Pitcairn I. ;VP6;OC;63;32;172
Poland;SN,SR;EU;28;15;269
Portugal;CT;EU;37;14;272
Pratas I. ;BV9P;AS;44;24;505
Prince Edward & Marion Is.;ZS8 ;AF;57;38;201
Puerto Rico;KP3,KP4;NA;11;8;202
Qatar;A7;AS;39;21;376
Republic of Korea;HL,6K-6N;AS;44;25;137
Republic of Kosovo;Z6;EU;28;15;522
Reunion I. ;FR,TO;AF;53;39;453
Revillagigedo;XA4-XI4 ;NA;10;6;204
Rodrigues I.;3B9;AF;53;39;207
Romania;YO-YR;EU;28;20;275
Rotuma I.;3D2;OC;56;32;460
Rwanda;9X;AF;52;36;454
S. Cook Is.;E5;OC;62;32;234
Saba & St. Eustatius ;PJ5,PJ6;NA;11;8;519
Sable I.;CY0;NA;9;5;211
Saint Barthelemy;FJ,TO;NA;11;8;516
Saint Martin ;FS,TO;NA;11;8;213
Samoa;5W;OC;62;32;190
San Andres & Providencia;HK0;NA;11;7;216
San Felix & San Ambrosio;CE0;SA;14;12;217
San Marino;T7;EU;28;15;278
Sao Tome & Principe;S9;AF;47;36;219
Sardinia;IS0,IM0;EU;28;15;225
Saudi Arabia;HZ;AS;39;21;378
Scarborough Reef;BS7;AS;50;27;506
Scotland;GM,GS;EU;27;14;279
Senegal;6V-6W;AF;46;35;456
Serbia;YT-YU;EU;28;15;296
Seychelles;S7;AF;53;39;379
Sierra Leone;9L;AF;46;35;458
Singapore;9V;AS;54;28;381
Sint Maarten ;PJ7;NA;11;8;518
Slovak Republic;OM;EU;28;15;504
Slovenia;S5;EU;28;15;499
Solomon Is.;H4;OC;51;28;185
Somalia;T5,6O;AF;48;37;232
South Africa;ZR-ZU;AF;57;38;462
South Georgia I.;VP8,LU ;SA;73;13;235
South Orkney Is. ;VP8,LU ;SA;73;13;238
South Sandwich Is.;VP8,LU;SA;73;13;240
South Shetland Is. ;VP8,LU,4K1;SA;73;13;241
South Sudan (Rep of);Z8;AF;48;34;521
Sov. Mil. Order of Malta;1A;EU;28;15;246
Spain;EA-EH;EU;37;14;281
Spratly Is.;1S;AS;50;26;247
Sri Lanka;4S;AS;41;22;315
St. Helena;ZD7;AF;66;36;250
St. Kitts & Nevis;V4;NA;11;8;249
St. Lucia;J6;NA;11;8;97
St. Paul I.;CY9;NA;9;5;252
St. Peter & St. Paul Rocks;PP0-PY0S;SA;13;11;253
St. Pierre & Miquelon ;FP;NA;9;5;277
St. Vincent;J8;NA;11;8;98
Sudan;ST;AF;47, 48;34;466
Suriname;PZ;SA;12;9;140
Svalbard;JW;EU;18;40;259
Swains I.;KH8;OC;62;32;515
Sweden;SA-SM,7S-8S;EU;18;14;284
Switzerland;HB;EU;28;14;287
Syria;YK;AS;39;20;384
Taiwan;BU-BX;AS;44;24;386
Tajikistan;EY;AS;30;17;262
Tanzania;5H-5I;AF;53;37;470
Temotu Province;H40;OC;51;32;507
Thailand;HS,E2;AS;49;26;387
The Gambia;C5;AF;46;35;422
Timor - Leste;4W;OC;54;28;511
Togo;5V;AF;46;35;483
Tokelau Is.;ZK3;OC;62;31;270
Tonga;A3;OC;62;32;160
Trindade & Martim Vaz Is. ;PP0-PY0T;SA;15;11;273
Trinidad & Tobago;9Y-9Z;SA;11;9;90
Tristan da Cunha & Gough I.;ZD9;AF;66;38;274
Tromelin I.;FT/T,TO;AF;53;39;276
Tunisia;3V;AF;37;33;474
Turkey;TA-TC;EU/AS;39;20;390
Turkmenistan;EZ;AS;30;17;280
Turks & Caicos Is.;VP5 ;NA;11;8;89
Tuvalu;T2;OC;65;31;282
Uganda;5X;AF;48;37;286
UK Sov. Base Areas on Cyprus;ZC4;AS;39;20;283
Ukraine;UR-UZ,EM-EO;EU;29;16;288
United Arab Emirates;A6;AS;39;21;391
United Nations HQ;4U_UN;NA;8;5;289
United States of America;K,W,N,AA-AK;NA;6,7,8;3,4,5;291
Uruguay;CV-CX;SA;14;13;144
Uzbekistan;UJ-UM;AS;30;17;292
Vanuatu;YJ ;OC;56;32;158
Vatican;HV;EU;28;15;295
Venezuela;YV-YY,4M;SA;12;9;148
Viet Nam;3W,XV;AS;49;26;293
Virgin Is.;KP2;NA;11;8;285
W. Kiribati (Gilbert Is. );T30;OC;65;31;301
Wake I.;KH9;OC;65;31;297
Wales;GW,GC;EU;27;14;294
Wallis & Futuna Is.;FW;OC;62;32;298
West Malaysia;9M2,9M4;AS;54;28;299
Western Sahara;S0;AF;46;33;302
Willis I. ;VK9W ;OC;55;30;303
Yemen;7O;AS;39;21;492
Zambia;9I,9J;AF;53;36;482
Zimbabwe;Z2;AF;53;38;452
